Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Race Alone or in Combination [1] - White,Race Alone or in Combination [1] - Black or African American,Race Alone or in Combination [1] - American Indian and Alaska Native,Race Alone or in Combination [1] - Asian,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0400000US01,01,Alabama,70422,7412,4276,1329,1598
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1665711,680198,27093,34372,2114
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0400000US01,01,Alabama,1736133,687610,31369,35701,3712
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0400000US01,01,Alabama,89559,8361,5702,1580,2259
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1594601,592564,25858,31076,2013
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0400000US01,01,Alabama,1684160,600925,31560,32656,4272
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,159981,15773,9978,2909,3857
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3260312,1272762,52951,65448,4127
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3420293,1288535,62929,68357,7984
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0400000US01,01,Alabama,70423,7412,4276,1329,1598
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1665793,680221,27093,34372,2114
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0400000US01,01,Alabama,1736216,687633,31369,35701,3712
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0400000US01,01,Alabama,89562,8363,5702,1580,2259
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1594738,592718,25858,31076,2013
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0400000US01,01,Alabama,1684300,601081,31560,32656,4272
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,159985,15775,9978,2909,3857
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3260531,1272939,52951,65448,4127
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3420516,1288714,62929,68357,7984
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0400000US01,01,Alabama,71085,7441,4239,1316,1587
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1666752,681307,27205,34692,2129
